base,thr_050,thr_051,thr_052,thr_053,thr_054,thr_055,thr_056,thr_057,thr_058,thr_059,thr_060,thr_061,thr_062,thr_063,thr_064,thr_065,thr_066,thr_067,thr_068,thr_069,thr_070,thr_071,thr_072,thr_073,thr_074,thr_075,thr_076,thr_077,thr_078,thr_079,thr_080,thr_081,thr_082,thr_083,thr_084,thr_085,thr_086,thr_087,thr_088,thr_089,thr_090,thr_091,thr_092,thr_093,thr_094,thr_095,epsilon
0.5002,0.4666,0.4867,0.493,0.4923,0.4944,0.4963,0.4968,0.4974,0.4983,0.4988,0.4986,0.4986,0.4992,0.4995,0.4995,0.4994,0.4996,0.4996,0.4997,0.4999,0.5,0.5001,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.0
0.6205,0.9511,0.9519,0.9526,0.9526,0.9504,0.9467,0.9416,0.9335,0.9213,0.9044,0.8746,0.8197,0.7543,0.7066,0.6744,0.6535,0.6412,0.6331,0.6284,0.6255,0.6236,0.6227,0.622,0.6213,0.621,0.6208,0.6207,0.6206,0.6206,0.6206,0.6206,0.6206,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.5
0.7287,0.962,0.9632,0.9639,0.9642,0.9645,0.9643,0.9644,0.9648,0.9646,0.9644,0.9642,0.9641,0.9634,0.9623,0.9611,0.959,0.9559,0.9514,0.9445,0.9338,0.915,0.8866,0.8509,0.815,0.7815,0.7564,0.7418,0.7356,0.7324,0.7308,0.7301,0.7295,0.7291,0.7289,0.7288,0.7288,0.7288,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,1.0
0.8193,0.9644,0.9651,0.9657,0.9661,0.9664,0.967,0.9676,0.9681,0.9684,0.9687,0.9694,0.9699,0.9703,0.9707,0.9711,0.9712,0.9718,0.972,0.972,0.9718,0.9719,0.9716,0.9714,0.97,0.9684,0.9665,0.9636,0.9584,0.9509,0.9412,0.9267,0.9037,0.8755,0.8471,0.8319,0.8249,0.8216,0.8203,0.8197,0.8194,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,1.5
0.8835,0.966,0.9665,0.9668,0.9672,0.9677,0.968,0.9685,0.9691,0.9695,0.9699,0.9703,0.9706,0.971,0.9713,0.9717,0.9719,0.9725,0.9728,0.9735,0.974,0.9742,0.9745,0.9749,0.9752,0.9758,0.9761,0.9763,0.9763,0.9767,0.9772,0.9775,0.977,0.9758,0.9744,0.9723,0.9675,0.9589,0.9455,0.9224,0.8993,0.8895,0.886,0.8846,0.884,0.8836,0.8835,2.0
0.9222,0.9674,0.968,0.9685,0.969,0.9697,0.9703,0.9709,0.9712,0.9716,0.972,0.9721,0.9725,0.9729,0.9732,0.9734,0.9738,0.9741,0.9744,0.9747,0.9753,0.9757,0.9761,0.9766,0.9771,0.9774,0.9781,0.9789,0.9795,0.9799,0.9802,0.9805,0.9812,0.9814,0.9817,0.9824,0.9826,0.9821,0.9812,0.9793,0.9768,0.9714,0.9603,0.9413,0.9276,0.9236,0.9225,2.5
0.9517,0.9678,0.9683,0.9691,0.9697,0.9698,0.9703,0.9705,0.9709,0.9714,0.9717,0.9721,0.9725,0.9731,0.9733,0.9737,0.9741,0.9744,0.9749,0.9755,0.976,0.9764,0.9768,0.9773,0.9779,0.9784,0.9789,0.9792,0.9796,0.98,0.9807,0.9816,0.982,0.9827,0.9832,0.9835,0.9839,0.9843,0.9847,0.985,0.9855,0.9853,0.985,0.9834,0.981,0.9753,0.9633,3.0
0.9714,0.9685,0.9688,0.9694,0.97,0.9704,0.9709,0.9714,0.9718,0.9721,0.9726,0.9729,0.9734,0.9738,0.9743,0.9749,0.9755,0.976,0.9763,0.9771,0.9774,0.9777,0.9781,0.9786,0.9793,0.9799,0.9802,0.9806,0.9808,0.9814,0.982,0.9826,0.9831,0.9837,0.9842,0.9849,0.9853,0.9858,0.9869,0.9878,0.9883,0.9889,0.9895,0.9902,0.9904,0.9906,0.9896,3.5
0.9812,0.9688,0.9695,0.9699,0.9704,0.9709,0.9716,0.9721,0.9724,0.9727,0.9732,0.9737,0.9744,0.9748,0.975,0.9753,0.9755,0.9761,0.9766,0.9768,0.9773,0.9776,0.9778,0.9784,0.9789,0.9793,0.9799,0.9802,0.9807,0.9812,0.9821,0.9824,0.9827,0.9832,0.9837,0.984,0.9847,0.9854,0.9863,0.987,0.9879,0.9885,0.9892,0.9896,0.9906,0.9916,0.9921,4.0
0.9896,0.969,0.9698,0.9704,0.9706,0.9711,0.9715,0.9721,0.9725,0.9727,0.9731,0.9735,0.9741,0.9745,0.975,0.9756,0.9759,0.9763,0.9768,0.9774,0.9778,0.9782,0.9787,0.9793,0.9795,0.98,0.9806,0.981,0.9813,0.9817,0.9822,0.9826,0.9832,0.9837,0.9844,0.985,0.9857,0.9864,0.987,0.9875,0.988,0.9888,0.9893,0.9903,0.9913,0.9924,0.9933,4.5
